Comuna,Clasificacion,Nombre,Ubicacion,Has.x.comuna,Observaciones,Otros
3,PLAZA,Martin Fierro,"URQUIZA, GRAL. - BARCALA - LA RIOJA - POLIDEPORTIVO",1.529,Mejora en canil,NA
3,PLAZOLETA,Matide Vara de Anguita ,SARANDÍ - Bajada AU 25 DE MAYO - Propiedad particular - RINCÓN,0.12,Mejora en canil,NA
3,PLAZA,Primero de Mayo,"ALSINA, ADOLFO - PASCO - YRIGOYEN, HIPOLITO - PICHINCHA",1.3500734,Colocacion de bomba sumergible,NA
3,PLAZOLETA,Pzta es Angela Aieta N. d,"JENNER, EDUARDO, Dr. - ENTRE RÍOS, Av. - COMBATE DE LOS POZOS",0.117,NA,NA
3,PLAZA,R. Gonzalez Tuñon,"YRIGOYEN, HIPOLITO - 24 DE NOVIEMBRE",0.27,NA,NA
3,PLAZOLETA,"Rabinovich de Levenson, E",AU 25 DE MAYO e/ SARANDÍ y RINCÓN (vereda peatonal y jardín ),0.1212,NA,NA
3,PLAZOLETA,Ramona Bronte de Gaztiazo,COCHABAMBA e/PICHINCHA y MATHEU,0.155,NA,NA
3,PLAZA,Plaza Julio Cesar Fumarola,"JEAN JAURÉS - PERÓN, JUÁN D. , Tte. Gral. - ANCHORENA, TOMÁS MANUEL de - Límite Área operativa de trenes de Bs As S.A.",0.233,NA,NA
3,PLAZA,Interbloque,SARANDI Y CONSTITUCION,0.45,NA,NA
3,PLAZA,Pasaje de las Almas,Bartolome Mitre 3002,0.092,NA,Espacio nuevo
3,PLAZA,Irene Orlando,RINCON Y COCHABAMBA,0.0446,NA,NA
4,Plazoleta,"Ciudad de salamanca y anexo I, II, III y IV",Av. España 2220,0.1428,NA,NA
4,Veredón,Veredon Costanera - planos,Av. España 1701 - 2201,1.655,NA,NA
4,Veredón,Veredon ciudad deportiva - plano 1,Av. España 2100 - 2300,NA,NA,NA
4,Veredón,Veredon Paseo Colón,Paseo Colon 1500 - 1600,0.441,NA,NA
4,Corredor,Paseo de los Rusos,Vias FFCC Belgrano Sur e Brasil y Ar. Desposito,0.246,NA,NA
4,Corredor,Vias FFCC BELGRANO CARGA ,Vias desde Alte Brown hasta DESPOSITO,0.18762,NA,NA
4,Plaza,Plaza D'Espósito,Arnaldo D  Esposito 101,0.121776,NA,NA
4,Plaza,Islas Malvinas,Espinosa / P. de Mza / Caboto / 20 de Sep,1.1303,NA,NA
4,Plaza,"Necochea + barrio catalinas (barrio, plaza y cancha futbol)",Necochea 320,1.3446,NA,NA
4,Boulevard,Blvd Central,Alte. Brown desde Pilcomayo hasta Pedro de Mendoza,0.2184,NA,NA
4,Boulevard,Blvd Central,B.P.Galdos desde Alte Brown hasta Caboto,0.0738,NA,NA
4,Plazoleta,Cafferata,Brandsen 353,0.1728,NA,NA
4,Plazoleta,Molfeteses,Cafferata y Pinzon,0.0385,NA,NA
4,Plazoleta,Isleta Puente N.Avell,Pinzon 351,0.1596,NA,NA
4,Plazoleta,Isleta Puente N.Avell,Almirante Brown 1000,NA,NA,NA
4,Plazoleta,Terraplén Pte. N.Av.,Cafferata entre Brandsen y Pinzon (Terraplen),NA,NA,NA
4,Plaza,Solis,Suarez / Caboto / Olavarria / Mtro Brin,1.0461,Colocacion bomba sumergible,NA
4,Plazoleta,Carlos Bello,P. de Mendoza y Almte Brown,0.0235,NA,NA
4,Veredón,Fundacion PROA,Pedro de Mza 1900-2000,0.098,NA,NA
4,Parque,Flora Nativa B. Q. Martin,Irala / Vias del FFCC / Arist. Del Valle / Pi y Margall,4.097625,Mejora en patio de juegos,Puesta en valor 2017/2018
4,S/V,Casa Amarilla,Espinosa 450,0.9035,NA,NA
4,S/D,Casa Amarilla,Martin Rodriguez 250,0.7514,NA,NA
4,S/D,Casa Amarilla,Martin Rodriguez 350,0.2548,NA,NA
4,S/D,Casa Amarilla,Blanes 511,1.3195,NA,NA
4,S/D,Casa Amarilla,20 de Septiembre 550,NA,NA,NA
4,S/D,Casa Amarilla,Palos 125,NA,NA,NA
4,S/D,Casa Amarilla,Martin Rodriguez 409,0.3309,NA,NA
4,NA,Plazoleta S/D,A. Brown y Espora,0.102,NA,NA
4,Plazoleta,Bomberos Voluntarios ,Araoz de la Madrid 783 / Olavarria 798,0.1837,NA,NA
4,Patio Urbano,Brig. Estanislao Lopez,Suarez 782,0.02255,NA,NA
4,Patio Urbano,Suarez 688,Suarez 688,0.0397,NA,NA
4,Corredor,Paseo Garibaldi,Desde Brandsen hasta Olavarria ,1.784,NA,NA
4,Corredor,Paseo Garibaldi,Desde Olavarria hasta Quinquela Martin,NA,NA,NA
4,Corredor,Vespucio,Desde Quinquela Martin hasta California,0.6787,NA,NA
4,Plazoleta,Victorica,Coronel Salvadores 878 ,0.0337,NA,NA
4,Plaza,Matheu,Magallanes / Irala / Lamadrid / Hernandarias ,0.996986,Mejora en patio de juegos,Puesta en valor 2017/2018
4,Plaza,Brown,California / Salvadores / Alvar Nuñez / Irala,0.989284,Colocacion bomba sumergible,NA
4,Plazoleta,Carlos Disarli,Almirante Brown / Martin Garcia / Paseo Colon,0.0417,NA,NA
4,Veredón,Lateral escuela publica ,Irala / Alvar Nuñez / Rocha,0.0354,NA,NA
4,Ribera Río,Paseo de La Ribera,Av P. de Mendoza hasta Vieytes,5.4324,NA,NA
4,NA,BAJO AUTOPISTA USINA DEL ARTE,P.. Mendoza entre A. Caffarena y A. Espinosa,1.42,NA,NA
4,NA,CASA AMARILLA - PLAZA SOBRE CALLE TOMAS ESPORA,Cnel. Tomas Espora y Av. Alte Brown,0.113,NA,NA
4,Plazoleta,Elisa Brown,Ruiz Diaz de Guzman 6,0.094,NA,NA
